引用年份,資料來源,標題 / 名稱,內容摘要 (含智慧科技應用),優勢,劣勢,改善的部分 (牙視界之設計優化)
2026年,元氣網 (聯合報),國人缺牙危機 年紀愈大愈嚴重！假牙清潔不佳恐感染,指出高齡缺牙現狀，並運用 AI 重點整理技術提取核心警訊，強調假牙清潔與全身疾病風險之關聯 1。,提供最新的高齡缺牙統計數據（80 歲以上保 20 顆牙者僅兩成），具高度社會警示價值 1。,缺乏居家工具：僅提出警訊，缺乏讓病患在居家環境落實精準清潔的輔助工具 1。,"個人化清潔導航：結合 LLM+RAG 技術，針對植牙及假牙區域提供專屬導引，預防二次感染 2, 3。"
2025年,全民健康保險會,公告 114 年度健保總額及其分配,政策面支持數位醫療轉型與資源優化，運用大數據精算進行醫療給付成長率評估 4。,具備國家級政策權威性，明確指出智慧醫療與數位轉型是未來降低健保支出之關鍵 4。,缺乏前端預防：宏觀政策偏向後端治療預算分配，缺乏能有效降低發病率的前端篩檢技術 4。,"數位門衛角色：作為健保前端篩檢站，早期預警可將治療預算轉為主動預防支出 2, 5。"
2024年,衛生福利部 (季麟揚),110-112 年度我國成年及老年人口腔健康調查,利用全民健康保險研究資料庫 (NHIRD) 進行大數據分析，產出恆牙齲齒經驗與 DMFT 指數分析 6。,"提供全台大規模標準化調查數據（N=9,898），是目前我國最權威的口腔健康基準資料 3, 6。","數據監控斷層：屬週期性靜態調查，民眾在半年一次的門診檢查間存在數據真空期 2, 3。","連續性監控：提供每日居家影像掃描，實現健康狀況的動態追蹤與即時預警 2, 5。"
2024年,衛生福利部 (季麟揚),112-113 年度我國 6 歲以下兒童口腔健康調查,運用 NHIRD 數據分析學齡前兒童口腔狀況，強調早發性齲齒 (ECC) 之盛行率與家長行為之關聯 7。,針對幼童族群提供專門的 dmft 數據分析，具備早期介入與衛教行為研究之優勢 7。,"診療配合度低：兒童對醫療器械具高焦慮感，且家長肉眼難以精確辨識乳牙早期病灶 3, 7。","非侵入式採集：透過手機引導框與 AI 採集，在輕鬆氛圍下提高兒童偵測率 2, 5。"
2024年,創新創業平臺,守護您寶貴的牙齒，健康看的到（智牙淨）,運用 AI 健康偵測、智慧高清鏡頭與手機連線技術，並結合奈米微粒進行居家照護 8。,具備完整的商業應用邏輯，鎖定植牙/矯正等高價值族群，強調提升「心理價值」與自尊 8。,"缺乏量化指標：多停留在概念或單一提醒，缺乏與臨床專業量表（如 OHAT）之深度整合 3, 8。","醫療指標整合：深度嵌入 OHAT 與 DMFT 量表邏輯，將影像分析轉化為科學化的「風險分數」 2, 5。"
2023年,行政院,建立我國性別平等指數架構第二期研究案報告,運用 JMP 統計軟體分析民眾就醫行為，揭示「症狀不嚴重」(22.2%)為不就醫首要因素 9。,深入剖析民眾延誤就醫的心理障礙，提供開發預防性裝置所需之行為學背景 9。,病識感偏差：揭露了心理障礙，但缺乏能即時糾正「不痛代表沒病」認知的數位工具 9。,"AI 視覺化病識感：透過 AI 自動標註病徵，提供視覺化「病識感證據」，打破就醫心理藉口 2, 5。"
2023年,香港大學,港大利用 AI 分析照片檢測牙齦發炎,開發基於卷積神經網路 (CNN) 的 AI 算法，透過圖像數據集自動檢測紅腫與流血徵狀 10。,臨床驗證 AI 偵測發炎之準確率超過九成，證明智慧攝影具備與牙醫目測相當的精準度 10。,診斷項目單一：目前研究多專注於特定發炎指標，缺乏全口腔拼接與多維度指標的整合評估 10。,"15 項全方位診斷：引入 SIFT/SLAM 全景拼接技術，同時辨識齲齒、潰瘍、歪斜等 15 項指標 2, 5。"
2022年,衛福部 / 牙醫全聯會,成人口腔保健專業版 (衛教手冊),"結合臨床照片進行數位圖文教育，並解釋齲齒「去礦化」之病理過程 11, 12。","具備專業的臨床病理說明與正確潔牙（貝氏刷牙法）之官方教學標準 11, 12。","教育被動低效：屬靜態教材，民眾難以對照內容自行精準判讀隱匿性病徵（如白斑） 3, 11。","主動提取技術：將衛教知識轉化為 AI 自動提取演算法，主動識別肉眼易忽略的病徵 2, 5。"
2022年,高雄醫學大學,AI 牙科監測系統 (DENTAL MONITORING®),運用 AI 平台結合智慧型手機進行口腔掃描與自動化溝通系統監測 13。,國際首個證實「居家 AI 監控平台」能有效提升牙周病患者治療依從性之介入研究 13。,平台侷限性：多為單一商業平台之閉鎖式研究，缺乏針對大眾的生成式 AI 互動引導 13。,"LLM+RAG 互動導航：結合 LLM 與醫學數據庫，生成更具專業性且易讀的「居家保健指引」 2, 5。"
2021年,臺北榮總,淺談 AI 影像辨識於牙科之應用,介紹卷積神經網路 (CNN) 與端對端學習 (End-to-End) 在 X 光與照片辨識之技術原理 14。,綜述了 AI 在判別與分割 (Segmentation) 功能的表現，揭示遠距醫療的前景 14。,技術解釋侷限：AI 僅告知結果而缺乏中間判斷過程，導致醫師對「黑箱運算」仍有信任門檻 14。,"醫療量化報告：將複雜運算轉化為直觀的「風險分數」圖表，增加診斷的數據透明度 2, 5。"
2020年,IEEE / Tai-Hsien,MeshSegNet 技術文件,提供基於深度學習之多維度網格特徵學習技術，用於 3D 牙齒自動分割標註 15。,在 3D 掃描影像的牙齒分割上具有指標性地位，是本系統底層開發之技術藍圖 15。,"操作門檻極高：屬純後端演算法研究，缺乏針對一般大眾設計的前端引導機制 3, 15。","智慧前端系統：建構包含 App 智慧引導框與 IoT 連線的操作生態，使先進算法進入家庭 2, 5。"
2016年,衛生福利部 (黃茂栓),104-105 年度「成年與老年人口腔健康調查計畫」,利用標準化檢查工具產出全台口腔調查，提供數據建模所需的長期基準資料 16。,提供了我國最完整的城鄉口腔健康對比數據與牙周健康趨勢分析 16。,靜態監測缺口：靜態調查無法反映個體每日的健康波動，且偏向後端流行病學統計 16。,"填補每日監測：本系統提供居家連續性記錄，補足了週期性調查間的動態空白 2, 5。"
2007年,高雄醫學大學 (吳麗郁),台灣青少年牙周狀況與相關因素之探討,建立 Access 資料庫與 JMP 軟體探討青少年行為與早期感染之關聯 17。,填補了國內針對 15-18 歲族群口腔調查之缺乏，並指出早期感染是全身疾病因子 17。,缺乏實時反饋：調查揭示行為問題，但無法在日常潔牙中提供即時的錯誤糾正機制 17。,"實時潔牙導引：透過手機端進行貝氏刷牙法實時糾錯，培養青少年正確習慣 2, 5。"
2005年,安泰醫護雜誌,口腔健康狀況與全身系統疾病相關性探討,運用推論性統計 (P-Value) 分析證實牙周狀況與血糖、膽固醇具顯著相關 18。,提供了「口腔健康 = 全身健康」的早期醫學實證證據，建立關鍵風險模型 18。,監控機制缺失：具備理論基礎，但民眾缺乏能將口腔作為全身健康「預警指標」的工具 18。,"全身健康預警系統：建立 AI 高風險偵測模型，將口腔狀態列為全身健康的先行指標 2, 5。"
